133219,195.57,-99.81,0.00,25.00
133239,195.57,-99.81,0.00,25.00
133267,195.57,-99.81,0.00,25.00
133287,195.57,-99.82,0.00,25.00
133307,195.57,-99.84,0.00,25.00
133327,195.57,-99.84,0.00,25.00
133347,195.57,-99.84,0.00,25.00
133367,195.57,-99.83,0.00,25.00
133387,195.57,-99.81,0.00,25.00
133407,195.57,-99.78,0.00,25.00
133427,195.57,-99.74,0.00,25.00
133447,195.57,-99.68,0.00,25.00
133469,195.57,-99.61,0.00,25.00
133489,195.57,-99.53,0.00,25.00
133509,195.57,-99.43,0.00,25.00
133529,195.57,-99.32,0.00,25.00
133549,195.57,-99.19,0.00,25.00
133569,195.57,-99.05,0.00,25.00
133589,195.57,-98.90,0.00,25.00
133609,195.57,-98.75,0.00,25.00
133629,195.57,-98.59,0.00,25.00
133649,195.57,-98.42,0.00,25.00
133670,195.57,-98.26,0.00,25.00
133691,195.57,-98.08,0.00,25.00
133711,195.57,-97.90,0.00,25.00
133731,195.57,-97.71,0.00,25.00
133751,195.57,-97.52,0.00,25.00
133771,195.57,-97.31,0.00,25.00
133791,195.57,-97.10,0.00,25.00
133811,195.57,-96.88,0.00,25.00
133831,195.57,-96.65,0.00,25.00
133851,195.57,-96.41,0.00,25.00
133872,195.57,-96.16,0.00,25.00
133892,195.57,-95.90,0.00,25.00
133912,195.57,-95.64,0.00,25.00
133932,195.57,-95.37,0.00,25.00
133952,195.57,-95.10,0.00,25.00
133972,195.57,-94.83,0.00,25.00
133992,195.57,-94.56,0.00,25.00
134012,195.57,-94.30,0.00,25.00
134032,195.57,-94.05,0.00,25.00
134052,195.57,-93.80,0.00,25.00
134073,195.57,-93.56,0.00,25.00
134093,195.57,-93.31,0.00,25.00
134113,195.57,-93.07,0.00,25.00
134133,195.57,-92.84,0.00,25.00
134153,195.57,-92.60,0.00,25.00
134173,195.57,-92.37,0.00,25.00
134193,195.57,-92.14,0.00,25.00
134213,195.57,-91.92,0.00,25.00
134233,195.57,-91.70,0.00,25.00
134253,195.57,-91.49,0.00,25.00
134274,195.57,-91.28,0.00,25.00
134294,195.57,-91.09,0.00,25.00
134314,195.57,-90.89,0.00,25.00
134334,195.57,-90.70,0.00,25.00
134354,195.57,-90.50,0.00,25.00
134374,195.57,-90.31,0.00,25.00
134394,195.57,-90.10,0.00,25.00
134414,195.57,-89.89,0.00,25.00
134434,195.57,-89.68,0.00,25.00
134454,195.57,-89.46,0.00,25.00
134475,195.57,-89.22,0.00,25.00
134495,195.57,-88.98,0.00,25.00
134515,195.57,-88.72,0.00,25.00
134535,195.57,-88.47,0.00,25.00
134555,195.57,-88.21,0.00,25.00
134575,195.57,-87.95,0.00,25.00
134595,195.57,-87.69,0.00,25.00
134615,195.57,-87.42,0.00,25.00
134635,195.57,-87.16,0.00,25.00
134655,195.57,-86.90,0.00,25.00
134676,195.57,-86.63,0.00,25.00
134696,195.57,-86.36,0.00,25.00
134716,195.57,-86.09,0.00,-25.00
134736,195.57,-85.83,0.00,-25.00
134756,195.57,-85.57,0.00,-25.00
134776,195.57,-85.30,0.00,-25.00
134796,195.57,-85.06,0.00,-25.00
134816,195.57,-84.84,0.00,-25.00
134836,195.57,-84.64,0.00,-25.00
134856,195.57,-84.48,0.00,-25.00
134877,195.57,-84.35,0.00,-25.00
134897,195.57,-84.25,0.00,-25.00
134917,195.57,-84.19,0.00,-25.00
134937,195.57,-84.15,0.00,-25.00
134957,195.57,-84.14,0.00,-25.00
134977,195.57,-84.16,0.00,-25.00
134997,195.57,-84.20,0.00,-25.00
135017,195.57,-84.26,0.00,-25.00
135037,195.57,-84.35,0.00,-25.00
135057,195.57,-84.45,0.00,-25.00
135079,195.57,-84.56,0.00,-25.00
135099,195.57,-84.69,0.00,-25.00
135119,195.57,-84.84,0.00,-25.00
135139,195.57,-85.00,0.00,-25.00
135159,195.57,-85.17,0.00,-25.00
135179,195.57,-85.35,0.00,-25.00
135199,195.57,-85.54,0.00,-25.00
135219,195.57,-85.74,0.00,-25.00
135239,195.57,-85.94,0.00,-25.00
135259,195.57,-86.15,0.00,-25.00
135282,195.57,-86.56,0.00,-25.00
135302,195.57,-86.77,0.00,-25.00
135322,195.57,-86.99,0.00,-25.00
135342,195.57,-87.21,0.00,-25.00
135362,195.57,-87.43,0.00,-25.00
135382,195.57,-87.65,0.00,-25.00
135402,195.57,-87.87,0.00,-25.00
135422,195.57,-88.10,0.00,-25.00
135442,195.57,-88.33,0.00,-25.00
135462,195.57,-88.56,0.00,-25.00
135484,195.57,-88.79,0.00,-25.00
135504,195.57,-89.02,0.00,-25.00
135524,195.57,-89.25,0.00,-25.00
135544,195.57,-89.48,0.00,-25.00
135564,195.57,-89.70,0.00,-25.00
135584,195.57,-89.93,0.00,-25.00
135604,195.57,-90.15,0.00,-25.00
135624,195.57,-90.38,0.00,-25.00
135644,195.57,-90.60,0.00,-25.00
135664,195.57,-90.83,0.00,-25.00
135686,195.57,-91.05,0.00,-25.00
135706,195.57,-91.28,0.00,-25.00
135726,195.57,-91.51,0.00,-25.00
135746,195.57,-91.74,0.00,-25.00
135766,195.57,-91.98,0.00,-25.00
135786,195.57,-92.21,0.00,-25.00
135806,195.57,-92.45,0.00,-25.00
135826,195.57,-92.69,0.00,-25.00
135846,195.57,-92.94,0.00,-25.00
135866,195.57,-93.18,0.00,-25.00
135888,195.57,-93.42,0.00,-25.00
135908,195.57,-93.67,0.00,-25.00
135928,195.57,-93.91,0.00,-25.00
135948,195.57,-94.16,0.00,-25.00
135968,195.57,-94.42,0.00,-25.00
135988,195.57,-94.68,0.00,-25.00
136008,195.57,-94.95,0.00,-25.00
136028,195.57,-95.21,0.00,-25.00
136048,195.57,-95.48,0.00,-25.00
136068,195.57,-95.75,0.00,-25.00
136089,195.57,-96.02,0.00,-25.00
136109,195.57,-96.29,0.00,-25.00
136129,195.57,-96.56,0.00,-25.00
136149,195.57,-96.83,0.00,-25.00
136169,195.57,-97.10,0.00,-25.00
136189,195.57,-97.38,0.00,-25.00
136209,195.57,-97.66,0.00,25.00
136229,195.57,-97.93,0.00,25.00
136249,195.57,-98.21,0.00,25.00
136269,195.57,-98.49,0.00,25.00
136290,195.57,-98.75,0.00,25.00
136311,195.57,-99.00,0.00,25.00
